date-hour,login-node,wusers,memory-used,running-process,cpu_usage %,running-jobs,total-jobs,time-to-ls,time-for-1G,df-usage
Jul07_2020-00,login2,17,460.89,363,26.4,119,734,0m0.003s,0m23.720s,915
Jul07_2020-01,login2,17,460.9,362,26.4,105,751,0m0.003s,0m23.771s,917
Jul07_2020-02,login2,17,460.92,361,94.7,101,703,0m0.003s,0m23.760s,918
Jul07_2020-03,login2,17,460.91,361,110.6,104,682,0m0.003s,0m23.903s,918
Jul07_2020-04,login2,17,460.92,362,26.4,108,676,0m0.003s,0m23.953s,917
Jul07_2020-05,login2,17,460.9,360,31.7,98,639,0m0.003s,0m23.824s,917
Jul07_2020-06,login2,17,460.91,360,21.1,98,634,0m0.003s,0m23.740s,917
Jul07_2020-07,login2,17,460.89,360,89.5,110,641,0m0.003s,0m23.852s,918
Jul07_2020-08,login2,17,460.9,367,42.2,111,634,0m0.003s,0m23.787s,917
Jul07_2020-09,login2,17,460.9,355,21.1,120,729,0m0.003s,0m23.926s,916
Jul07_2020-10,login2,17,460.91,354,21.1,123,776,0m0.003s,0m23.773s,916
Jul07_2020-11,login2,17,460.94,355,57.9,110,780,0m0.003s,0m23.855s,916
Jul07_2020-12,login2,17,461.65,357,21.1,94,744,0m0.003s,0m23.935s,915
Jul07_2020-13,login2,17,461.69,364,31.6,119,758,0m0.003s,0m23.723s,916
Jul07_2020-14,login2,17,461.77,367,21.1,132,812,0m0.003s,0m23.901s,916
Jul07_2020-15,login2,16,461.08,361,21.1,142,899,0m0.003s,0m23.752s,916
Jul07_2020-16,login2,16,461.09,356,26.4,149,864,0m0.003s,0m23.813s,918
Jul07_2020-17,login2,16,461.04,356,36.9,128,903,0m0.003s,0m23.742s,918
Jul07_2020-18,login2,17,461.19,359,25.0,120,825,0m0.003s,0m23.723s,918
Jul07_2020-19,login2,18,461.37,361,31.6,107,785,0m0.003s,0m23.723s,916
Jul07_2020-20,login2,18,461.39,361,26.4,107,754,0m0.003s,0m23.796s,917
Jul07_2020-21,login2,18,461.6,356,50.0,95,737,0m0.003s,0m23.742s,917
Jul07_2020-22,login2,18,461.9,355,52.8,66,719,0m0.003s,0m23.779s,917
Jul07_2020-23,login2,17,461.99,356,47.5,40,660,0m0.003s,0m27.259s,917
Jul16_2020-00,login2,17,482.38,382,26.4,116,809,0m0.003s,0m23.667s,919
Jul16_2020-01,login2,17,482.61,383,26.4,108,790,0m0.003s,0m23.692s,917
Jul16_2020-02,login2,17,482.37,386,21.1,119,872,0m0.003s,0m23.753s,918
Jul16_2020-03,login2,17,482.07,382,26.4,121,779,0m0.003s,0m23.742s,918
Jul16_2020-04,login2,16,481.92,374,42.1,128,760,0m0.003s,0m23.744s,918
Jul16_2020-05,login2,16,481.91,374,36.9,126,741,0m0.003s,0m23.739s,917
Jul16_2020-06,login2,16,481.49,373,31.7,113,736,0m0.003s,0m23.835s,917
Jul16_2020-07,login2,16,481.36,373,21.1,114,745,0m0.003s,0m23.765s,917
Jul16_2020-08,login2,17,481.25,375,84.4,123,856,0m0.003s,0m23.749s,918
Jul16_2020-09,login2,17,481.95,378,121.1,127,830,0m0.003s,0m23.706s,918
Jul16_2020-10,login2,17,482.99,384,121.1,126,833,0m0.003s,0m24.173s,918
Jul16_2020-11,login2,17,483.46,386,21.1,125,846,0m0.003s,0m23.783s,917
Jul16_2020-12,login2,17,482.03,387,115.0,125,869,0m0.003s,0m23.791s,918
Jul16_2020-13,login2,19,482.67,396,36.9,125,918,0m0.004s,0m24.180s,918
Jul16_2020-14,login2,19,497.84,390,63.3,112,921,0m0.003s,0m24.025s,918
Jul16_2020-15,login2,20,499.98,404,200.0,111,894,0m0.003s,0m24.055s,917
Jul16_2020-16,login2,20,499.11,398,47.5,112,943,0m0.003s,0m23.707s,918
Jul16_2020-17,login2,20,499.1,393,263.3,109,866,0m0.003s,0m23.819s,917
Jul16_2020-18,login2,20,500.73,400,142.2,102,791,0m0.003s,0m23.911s,917
Jul16_2020-19,login2,20,498.94,393,110.6,83,787,0m0.003s,0m23.777s,917
Jul16_2020-20,login2,19,498.23,386,45.0,67,777,0m0.003s,0m23.768s,916
Jul16_2020-21,login2,19,498.23,386,40.0,39,818,0m0.003s,0m23.813s,918
Jul16_2020-22,login2,19,499.5,389,47.5,15,829,0m0.003s,0m23.922s,919
Jul16_2020-23,login2,18,499.1,386,63.4,46,793,0m0.003s,0m23.665s,919
Jul06_2020-00,login3,61,475.87,899,71.4,69,728,0m0.003s,0m23.818s,637
Jul06_2020-01,login3,59,476.12,895,31.8,65,716,0m0.003s,0m23.867s,635
Jul06_2020-02,login3,58,476.26,896,28.6,65,708,0m0.003s,0m23.778s,635
Jul06_2020-03,login3,58,476.31,899,154.5,67,692,0m0.003s,0m23.845s,635
Jul06_2020-04,login3,59,476.5,898,28.6,64,651,0m0.003s,0m23.783s,640
Jul06_2020-05,login3,56,476.33,892,76.2,66,649,0m0.003s,0m23.735s,640
Jul06_2020-06,login3,55,476.2,888,33.3,62,629,0m0.003s,0m24.081s,642
Jul06_2020-07,login3,53,475.77,882,23.8,51,606,0m0.003s,0m23.748s,642
Jul06_2020-08,login3,54,476.49,886,28.6,51,586,0m0.003s,0m23.725s,922
Jul06_2020-09,login3,67,480.56,943,656.0,68,657,0m0.003s,0m25.049s,921
Jul06_2020-10,login3,78,488.78,1002,1392.0,70,660,0m0.005s,0m24.043s,921
Jul06_2020-11,login3,87,488.89,1018,254.3,75,749,0m0.003s,0m23.874s,921
Jul06_2020-12,login3,87,487.22,1013,249.8,87,797,0m0.003s,0m23.888s,921
Jul06_2020-13,login3,88,489.15,1017,277.2,113,793,0m0.003s,0m24.101s,921
Jul06_2020-14,login3,90,495.5,1054,1139.4,119,907,0m0.005s,0m24.475s,922
Jul06_2020-15,login3,94,496.53,1077,331.5,121,879,0m0.003s,0m23.930s,922
Jul06_2020-16,login3,101,490.2,1080,767.0,123,850,0m0.004s,0m23.860s,922
Jul06_2020-17,login3,100,496.41,1109,1575.0,129,812,0m0.006s,0m25.274s,922
Jul06_2020-18,login3,100,480.11,1041,200.0,124,820,0m0.003s,0m23.702s,922
Jul06_2020-19,login3,93,479.87,1012,227.3,122,747,0m0.003s,0m23.838s,840
Jul06_2020-20,login3,92,480.83,997,28.6,116,702,0m0.003s,0m23.736s,838
Jul06_2020-21,login3,90,492.33,994,54.4,107,660,0m0.003s,0m25.140s,839
Jul06_2020-22,login3,85,494.54,977,28.6,70,729,0m0.003s,0m23.737s,840
Jul06_2020-23,login3,81,492.46,963,209.5,57,703,0m0.003s,0m24.922s,841
Jul28_2020-00,login5,52,383.26,241,21.1,65,834,0m0.004s,0m3.875s,903
Jul28_2020-01,login5,51,384.59,240,115.9,65,829,0m0.003s,0m3.965s,904
Jul28_2020-02,login5,45,382.95,220,89.5,55,795,0m0.003s,0m3.913s,904
Jul28_2020-03,login5,45,384.4,231,226.5,50,775,0m0.003s,0m4.202s,905
Jul28_2020-04,login5,39,385.92,215,115.8,46,768,0m0.003s,0m3.893s,905
Jul28_2020-05,login5,37,384.64,207,115.9,29,751,0m0.003s,0m3.870s,905
Jul28_2020-06,login5,40,385.6,216,100.1,13,719,0m0.004s,0m3.924s,905
Jul28_2020-07,login5,37,386.43,208,77.8,13,693,0m0.003s,0m3.922s,906
Jul28_2020-08,login5,38,386.92,216,200.0,13,700,0m0.003s,0m3.999s,906
Jul28_2020-09,login5,40,391.06,222,105.6,8,720,0m0.004s,0m5.090s,905
Jul28_2020-10,login5,49,394.54,250,63.1,9,745,0m0.004s,0m3.910s,906
Jul28_2020-11,login5,59,403.39,254,63.2,8,779,0m0.004s,0m4.128s,906
Jul28_2020-12,login5,61,404.94,263,173.7,9,797,0m0.004s,0m4.255s,906
Jul28_2020-13,login5,65,364.28,284,115.9,103,873,0m0.004s,0m3.901s,907
Jul28_2020-14,login5,71,371.83,305,21.1,80,851,0m0.003s,0m3.914s,906
Jul28_2020-15,login5,64,359.74,283,194.8,35,833,0m0.003s,0m3.916s,906
Jul28_2020-16,login5,64,359.18,266,94.7,11,890,0m0.004s,0m3.923s,906
Jul28_2020-17,login5,69,363.13,285,142.2,10,911,0m0.004s,0m4.021s,906
Jul28_2020-18,login5,65,363.92,295,110.5,11,899,0m0.004s,0m3.946s,906
Jul28_2020-19,login5,63,368.56,285,821.1,64,916,0m0.004s,0m3.895s,905
Jul28_2020-20,login5,62,369.7,283,905.3,83,1020,0m0.004s,0m3.938s,906
Jul28_2020-21,login5,59,364.89,273,185.0,80,949,0m0.004s,0m4.055s,906
Jul28_2020-22,login5,57,366.49,258,131.6,76,903,0m0.004s,0m3.919s,906
Jul28_2020-23,login5,54,367.04,234,10.5,71,856,0m0.003s,0m3.862s,905
Jul26_2020-00,login3,34,245.06,2546,32.0,73,603,0m0.003s,0m3.855s,904
Jul26_2020-01,login3,32,244.86,2540,40.0,74,562,0m0.003s,0m3.878s,904
Jul26_2020-02,login3,32,244.77,2539,40.0,60,627,0m0.003s,0m3.873s,904
Jul26_2020-03,login3,32,244.69,2536,36.0,68,654,0m0.003s,0m3.878s,904
Jul26_2020-04,login3,32,244.7,2535,48.0,61,675,0m0.003s,0m4.048s,904
Jul26_2020-05,login3,32,244.69,2533,52.0,80,626,0m0.003s,0m3.890s,905
Jul26_2020-06,login3,32,244.69,2533,36.0,62,613,0m0.003s,0m3.981s,905
Jul26_2020-07,login3,31,244.57,2533,40.0,52,573,0m0.003s,0m3.879s,905
Jul26_2020-08,login3,30,244.35,2529,64.0,46,556,0m0.003s,0m3.894s,906
Jul26_2020-09,login3,30,244.51,2529,36.0,43,546,0m0.003s,0m3.886s,906
Jul26_2020-10,login3,29,244.34,2527,100.0,40,544,0m0.003s,0m3.894s,905
Jul26_2020-11,login3,29,244.33,2527,128.0,45,589,0m0.003s,0m3.845s,905
Jul26_2020-12,login3,30,244.67,2531,92.0,46,600,0m0.003s,0m3.862s,905
Jul26_2020-13,login3,30,244.54,2532,44.0,47,608,0m0.003s,0m3.950s,906
Jul26_2020-14,login3,30,244.54,2537,40.0,51,608,0m0.003s,0m3.873s,906
Jul26_2020-15,login3,30,244.65,2537,40.0,65,634,0m0.003s,0m3.874s,905
Jul26_2020-16,login3,32,251.89,2568,444.0,76,715,0m0.003s,0m4.102s,905
Jul26_2020-17,login3,36,248.4,2554,60.0,71,804,0m0.003s,0m3.871s,905
Jul26_2020-18,login3,36,249.26,2564,411.6,76,834,0m0.004s,0m3.915s,905
Jul26_2020-19,login3,37,249.88,2569,348.0,78,849,0m0.003s,0m3.869s,905
Jul26_2020-20,login3,37,252.7,2573,456.0,67,820,0m0.003s,0m3.894s,904
Jul26_2020-21,login3,34,249.75,2558,352.0,64,837,0m0.003s,0m3.864s,904
Jul26_2020-22,login3,34,249.42,2550,80.0,64,816,0m0.003s,0m3.881s,905
Jul26_2020-23,login3,33,250.24,2556,196.2,76,817,0m0.003s,0m3.897s,905
Jul14_2020-00,login1,56,478.99,913,827.5,132,813,0m0.004s,0m35.106s,633
Jul14_2020-01,login1,56,471.14,1046,233.8,90,801,0m0.003s,0m25.790s,635
Jul14_2020-02,login1,53,487.54,857,1313.8,97,764,0m0.004s,0m24.127s,635
Jul14_2020-03,login1,52,478.15,788,225.0,124,690,0m0.004s,0m23.828s,635
Jul14_2020-04,login1,52,479.95,780,200.1,119,661,0m0.003s,0m24.595s,635
Jul14_2020-05,login1,50,486.26,1191,1915.3,125,712,0m0.003s,0m27.565s,635
Jul14_2020-06,login1,52,482.37,778,142.9,110,629,0m0.003s,0m23.769s,635
Jul14_2020-07,login1,52,484.58,788,447.6,103,619,0m0.004s,0m23.955s,635
Jul14_2020-08,login1,52,484.69,798,552.2,107,667,0m0.003s,0m23.962s,923
Jul14_2020-09,login1,56,485.58,805,691.0,94,653,0m0.004s,0m24.628s,923
Jul14_2020-10,login1,66,491.21,841,366.9,53,716,0m0.004s,0m24.201s,921
Jul14_2020-11,login1,65,494.39,817,209.5,73,865,0m0.003s,0m23.914s,921
Jul14_2020-12,login1,72,481.0,827,66.8,105,940,0m0.003s,0m25.033s,921
Jul14_2020-13,login1,73,481.87,831,61.9,117,760,0m0.003s,0m23.779s,922
Jul14_2020-14,login1,82,485.69,857,100.1,114,813,0m0.003s,0m23.824s,922
Jul14_2020-15,login1,81,488.37,850,95.3,127,925,0m0.003s,0m23.901s,921
Jul14_2020-16,login1,70,484.86,837,123.9,110,823,0m0.003s,0m24.619s,765
Jul14_2020-17,login1,74,494.51,860,145.5,124,827,0m0.004s,0m23.757s,766
Jul14_2020-18,login1,77,488.91,835,58.9,151,830,0m0.004s,0m23.800s,765
Jul14_2020-19,login1,74,474.02,820,77.1,158,914,0m0.004s,0m24.185s,766
Jul14_2020-20,login1,67,473.11,798,71.5,185,918,0m0.003s,0m24.643s,767
Jul14_2020-21,login1,63,472.84,797,85.8,161,866,0m0.004s,0m23.834s,766
Jul14_2020-22,login1,62,472.5,783,38.2,162,840,0m0.003s,0m26.366s,766
Jul14_2020-23,login1,66,481.34,797,38.2,139,774,0m0.003s,0m23.687s,765
Jul03_2020-00,login1,68,439.91,1011,300.1,68,840,0m0.004s,0m24.069s,925
Jul03_2020-01,login1,66,440.52,1004,85.7,122,913,0m0.003s,0m23.864s,922
Jul03_2020-02,login1,67,440.83,991,90.9,162,873,0m0.003s,0m23.872s,922
Jul03_2020-03,login1,63,441.37,988,181.0,121,852,0m0.003s,0m24.118s,921
Jul03_2020-04,login1,61,440.81,985,181.7,72,771,0m0.004s,0m23.791s,923
Jul03_2020-05,login1,62,442.12,978,190.7,56,711,0m0.003s,0m23.834s,923
Jul03_2020-06,login1,64,444.88,977,122.8,60,686,0m0.004s,0m23.735s,923
Jul03_2020-07,login1,65,444.69,980,42.9,57,708,0m0.003s,0m23.708s,922
Jul03_2020-08,login1,65,445.8,976,36.4,44,696,0m0.003s,0m23.708s,922
Jul03_2020-09,login1,68,447.16,995,61.9,41,686,0m0.003s,0m24.503s,923
Jul03_2020-10,login1,70,449.36,1002,57.2,73,691,0m0.003s,0m23.770s,923
Jul03_2020-11,login1,72,449.77,1021,42.9,85,744,0m0.003s,0m23.890s,922
Jul03_2020-12,login1,72,450.65,1040,71.5,83,678,0m0.003s,0m23.752s,922
Jul03_2020-13,login1,75,450.36,1010,22.7,88,651,0m0.003s,0m23.933s,922
Jul03_2020-14,login1,74,459.5,1013,357.2,105,667,0m0.003s,0m23.797s,923
Jul03_2020-15,login1,75,451.62,1006,333.3,91,668,0m0.003s,0m23.995s,922
Jul03_2020-16,login1,74,451.43,1000,240.9,96,715,0m0.003s,0m23.846s,922
Jul03_2020-17,login1,72,451.56,1004,304.2,96,690,0m0.003s,0m23.750s,922
Jul03_2020-18,login1,71,451.36,1005,140.8,93,661,0m0.003s,0m23.751s,923
Jul03_2020-19,login1,70,451.34,996,81.7,95,649,0m0.003s,0m23.828s,922
